device_id,ip_address,token,timestamp,uv,temperature,humidity,volt,rotate,pressure,vibration,EventType,EventProcessedUtcTime,EventEnqueuedUtcTime,PartitionId
Device_1,10.163.2.1,token_PLzaCGwe_2021=,06:48.2,0.501820908,86,98,99.40581205,238.3907206,52.97325615,79.58834985,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:52.0470000Z,0
Device_1,10.163.2.1,token_PLzaCGwe_2021=,06:47.6,0.605858145,96,81,232.7157395,229.535193,172.644545,78.88188449,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:51.3290000Z,0
Device_1,10.163.2.1,token_PLzaCGwe_2021=,06:26.2,0.643491292,70,74,228.3798712,288.5911251,100.5658478,80.6407497,Telemetry,2021-10-26T05:04:07.9006161Z,2021-10-25T19:06:29.3430000Z,0
Device_1,10.163.2.1,token_PLzaCGwe_2021=,06:48.2,0.501820908,86,98,99.40581205,238.3907206,52.97325615,79.58834985,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:52.0470000Z,0
Device_1,10.163.2.1,token_PLzaCGwe_2021=,06:47.6,0.605858145,96,81,232.7157395,229.535193,172.644545,78.88188449,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:51.3290000Z,0
Device_1,10.163.2.1,token_PLzaCGwe_2021=,06:26.2,0.643491292,70,74,228.3798712,288.5911251,100.5658478,80.6407497,Telemetry,2021-10-26T05:04:07.9006161Z,2021-10-25T19:06:29.3430000Z,0
Device_3,10.163.2.3,token_Alu5lM!l_2021=,06:47.8,0.298846244,90,96,209.7247013,186.2672662,176.7142426,90.95894712,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:51.6100000Z,0
Device_3,10.163.2.3,token_Alu5lM!l_2021=,06:47.1,0.050265646,94,93,97.84500357,343.0179767,95.85714394,90.08779723,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:50.9530000Z,0
Device_3,10.163.2.3,token_Alu5lM!l_2021=,06:47.1,0.694740291,83,75,204.24394,677.1950753,67.40381551,60.0205363,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:50.7190000Z,0
Device_3,10.163.2.3,token_Alu5lM!l_2021=,06:16.0,0.681939936,74,84,239.9758336,221.4726566,126.1580148,67.02678669,Telemetry,2021-10-26T05:04:07.9006161Z,2021-10-25T19:06:19.4670000Z,0
Device_3,10.163.2.3,token_Alu5lM!l_2021=,06:47.8,0.298846244,90,96,209.7247013,186.2672662,176.7142426,90.95894712,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:51.6100000Z,0
Device_3,10.163.2.3,token_Alu5lM!l_2021=,06:47.1,0.050265646,94,93,97.84500357,343.0179767,95.85714394,90.08779723,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:50.9530000Z,0
Device_3,10.163.2.3,token_Alu5lM!l_2021=,06:47.1,0.694740291,83,75,204.24394,677.1950753,67.40381551,60.0205363,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:50.7190000Z,0
Device_3,10.163.2.3,token_Alu5lM!l_2021=,06:16.0,0.681939936,74,84,239.9758336,221.4726566,126.1580148,67.02678669,Telemetry,2021-10-26T05:04:07.9006161Z,2021-10-25T19:06:19.4670000Z,0
Device_4,10.163.2.4,token_6zpjpRCT_2021=,06:47.1,0.154734672,79,73,237.6601131,325.6856582,60.29797315,75.86132772,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:50.4850000Z,0
Device_4,10.163.2.4,token_6zpjpRCT_2021=,06:37.1,0.289774082,90,88,210.2108051,699.2037267,115.487247,70.20882723,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:40.8120000Z,0
Device_4,10.163.2.4,token_6zpjpRCT_2021=,06:36.5,0.431574496,90,71,220.6454565,434.1628269,199.6499437,73.3053377,Telemetry,2021-10-26T05:04:07.9006161Z,2021-10-25T19:06:40.4060000Z,0
Device_4,10.163.2.4,token_6zpjpRCT_2021=,06:16.0,0.794053352,98,100,146.4313907,695.4698583,195.2411252,68.11083303,Telemetry,2021-10-26T05:04:07.9006161Z,2021-10-25T19:06:19.2640000Z,0
Device_4,10.163.2.4,token_6zpjpRCT_2021=,06:47.1,0.154734672,79,73,237.6601131,325.6856582,60.29797315,75.86132772,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:50.4850000Z,0
Device_4,10.163.2.4,token_6zpjpRCT_2021=,06:37.1,0.289774082,90,88,210.2108051,699.2037267,115.487247,70.20882723,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:40.8120000Z,0
Device_4,10.163.2.4,token_6zpjpRCT_2021=,06:36.5,0.431574496,90,71,220.6454565,434.1628269,199.6499437,73.3053377,Telemetry,2021-10-26T05:04:07.9006161Z,2021-10-25T19:06:40.4060000Z,0
