timestamp,uv,temperature,humidity,volt,rotate,pressure,vibration
10/25/2021 19:06,0.501820908,86,98,99.40581205,238.3907206,52.97325615,79.58834985
10/25/2021 20:06,1.605858145,96,81,232.7157395,229.535193,172.644545,78.88188449
10/25/2021 21:06,0.643491292,70,74,228.3798712,288.5911251,100.5658478,80.6407497
10/25/2021 22:06,0.501820908,86,98,99.40581205,238.3907206,52.97325615,79.58834985
10/25/2021 23:06,0.605858145,96,81,232.7157395,229.535193,172.644545,78.88188449
10/25/2021 00:06,0.643491292,70,74,228.3798712,288.5911251,100.5658478,80.6407497
10/25/2021 01:06,0.298846244,90,96,209.7247013,186.2672662,176.7142426,90.95894712
10/25/2021 02:06,2.050265646,94,93,97.84500357,343.0179767,95.85714394,90.08779723
10/25/2021 03:06,0.694740291,83,75,204.24394,677.1950753,67.40381551,60.0205363
10/25/2021 04:06,0.681939936,74,84,239.9758336,221.4726566,126.1580148,67.02678669
10/25/2021 05:06,0.298846244,90,96,209.7247013,186.2672662,176.7142426,90.95894712
10/25/2021 06:06,0.050265646,94,93,97.84500357,343.0179767,95.85714394,90.08779723
10/25/2021 07:06,3.694740291,83,75,204.24394,677.1950753,67.40381551,60.0205363
