timestamp,transaction_id,session_id,amount,cancelled
2019-01-08 03:44:44,108,102,120.1,True
2019-01-08 03:50:10,109,102,115.0,True
2019-01-19 10:55:33,110,104,89.4,False
2019-01-19 03:05:46,111,105,84.5,False
2019-01-06 04:27:04,112,106,116.4,False
2019-01-06 02:10:18,113,106,68.2,False
2019-01-09 13:55:19,114,107,84.8,False
2019-01-09 18:00:40,115,107,111.4,False
2019-01-01 12:38:31,116,108,104.8,False
2019-01-12 20:57:41,117,110,93.9,False
2019-01-10 16:26:08,118,112,67.4,False
2019-01-27 19:08:07,119,113,55.3,False
2019-01-15 17:32:05,120,114,132.1,True
2019-01-16 17:48:26,121,115,75.3,True
2019-01-14 00:17:50,122,116,75.3,False
2019-01-14 02:48:39,123,116,114.4,False
2019-01-12 08:17:55,124,117,83.9,False
2019-01-10 08:05:11,125,118,90.7,True
2019-01-17 03:05:11,126,120,114.6,False
2019-01-15 11:36:56,127,121,113.2,False
2019-01-14 02:30:44,128,122,93.9,False
2019-01-13 05:48:36,129,123,96.7,True
2019-01-09 11:24:16,130,124,98.6,False
2019-01-19 19:00:32,131,125,55.3,True
2019-01-18 05:52:44,132,125,100.3,True
2019-01-22 23:58:10,133,126,93.7,False
2019-01-23 21:15:45,134,126,67.7,False
2019-01-14 09:18:31,135,127,132.1,True
2019-01-15 14:51:21,136,128,114.9,True
2019-01-14 19:15:37,137,130,98.9,False
2019-01-13 08:58:39,138,132,84.8,True
2019-01-14 05:54:12,139,134,55.3,True
2019-01-17 20:59:26,140,135,72.8,False
2019-01-09 07:25:41,141,137,120.3,False
2019-01-22 04:03:45,142,138,100.9,True
2019-01-23 02:06:32,143,139,76.0,False
2019-01-23 03:30:55,144,139,84.5,False
2019-01-23 01:11:16,145,140,96.6,True
2019-01-06 05:20:10,146,141,91.9,False
2019-01-09 08:35:13,147,142,112.2,False
2019-01-09 05:43:27,148,142,118.2,False
2019-01-11 19:05:19,149,143,55.3,True
2019-01-13 13:39:32,150,144,117.1,False
2019-01-13 22:23:35,151,144,76.2,False
2019-01-03 11:30:08,152,145,132.1,False
2019-01-01 13:51:23,153,147,105.9,False
2019-01-09 08:19:38,154,148,92.6,False
