timestamp,uv,temperature,humidity,volt,rotate,pressure,vibration
10/25/2021 19:06,0.501820908,186,198,99.40581205,238.3907206,52.97325615,79.58834985
10/25/2021 19:07,1.605858145,96,81,232.7157395,2129.535193,172.644545,78.88188449
10/25/2021 19:08,0.643491292,70,74,228.3798712,288.5911251,100.5658478,80.6407497
10/25/2021 19:09,0.501820908,186,98,99.40581205,238.3907206,52.97325615,79.58834985
10/25/2021 19:10,0.605858145,96,81,232.7157395,229.535193,172.644545,178.8818845
10/25/2021 19:11,0.643491292,70,174,228.3798712,288.5911251,100.5658478,80.6407497
10/25/2021 19:12,0.298846244,190,96,209.7247013,186.2672662,176.7142426,90.95894712
10/25/2021 19:13,0.050265646,94,93,97.84500357,343.0179767,95.85714394,190.0877972
10/25/2021 19:14,0.694740291,83,75,204.24394,677.1950753,67.40381551,60.0205363
10/25/2021 19:15,0.605858145,96,81,232.7157395,229.535193,172.644545,178.8818845
10/25/2021 19:16,0.643491292,70,174,228.3798712,288.5911251,100.5658478,80.6407497
10/25/2021 19:17,0.298846244,190,96,209.7247013,186.2672662,176.7142426,90.95894712
10/25/2021 19:18,0.050265646,94,93,97.84500357,343.0179767,95.85714394,190.0877972
10/25/2021 19:19,0.694740291,83,75,204.24394,677.1950753,67.40381551,60.0205363
