,device_id,ip_address,token,timestamp,uv,temperature,humidity,volt,rotate,pressure,vibration,EventType,EventProcessedUtcTime,EventEnqueuedUtcTime,PartitionId
0,Device_1,10.163.2.1,token_PLzaCGwe_2021=,2021-10-25 19:06:48.241313,0.5018209084560487,86,98,99.40581204664555,238.3907205907896,52.973256150896155,79.58834984950128,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:52.0470000Z,0
1,Device_1,10.163.2.1,token_PLzaCGwe_2021=,2021-10-25 19:06:47.592292,0.6058581449157708,96,81,232.71573947991595,229.53519299362407,172.6445450488107,78.88188448669729,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:51.3290000Z,0
2,Device_1,10.163.2.1,token_PLzaCGwe_2021=,2021-10-25 19:06:26.197777,0.6434912921865062,70,74,228.3798711706817,288.59112514072615,100.56584780595392,80.64074970354856,Telemetry,2021-10-26T05:04:07.9006161Z,2021-10-25T19:06:29.3430000Z,0
3,Device_1,10.163.2.1,token_PLzaCGwe_2021=,2021-10-25 19:06:48.241313,0.5018209084560487,86,98,99.40581204664555,238.3907205907896,52.973256150896155,79.58834984950128,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:52.0470000Z,0
4,Device_1,10.163.2.1,token_PLzaCGwe_2021=,2021-10-25 19:06:47.592292,0.6058581449157708,96,81,232.71573947991595,229.53519299362407,172.6445450488107,78.88188448669729,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:51.3290000Z,0
5,Device_1,10.163.2.1,token_PLzaCGwe_2021=,2021-10-25 19:06:26.197777,0.6434912921865062,70,74,228.3798711706817,288.59112514072615,100.56584780595392,80.64074970354856,Telemetry,2021-10-26T05:04:07.9006161Z,2021-10-25T19:06:29.3430000Z,0
6,Device_3,10.163.2.3,token_Alu5lM!l_2021=,2021-10-25 19:06:47.791298,0.2988462437706361,90,96,209.7247012849096,186.2672661866756,176.7142426060598,90.95894712396509,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:51.6100000Z,0
7,Device_3,10.163.2.3,token_Alu5lM!l_2021=,2021-10-25 19:06:47.078891,0.05026564577865633,94,93,97.84500357307607,343.0179766905833,95.8571439374196,90.08779723142484,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:50.9530000Z,0
8,Device_3,10.163.2.3,token_Alu5lM!l_2021=,2021-10-25 19:06:47.080849,0.6947402910285891,83,75,204.24394004641377,677.1950752895135,67.40381551326442,60.020536302633545,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:50.7190000Z,0
9,Device_3,10.163.2.3,token_Alu5lM!l_2021=,2021-10-25 19:06:15.961938,0.6819399363458947,74,84,239.97583359109834,221.47265660309026,126.1580148182338,67.02678668818642,Telemetry,2021-10-26T05:04:07.9006161Z,2021-10-25T19:06:19.4670000Z,0
10,Device_3,10.163.2.3,token_Alu5lM!l_2021=,2021-10-25 19:06:47.791298,0.2988462437706361,90,96,209.7247012849096,186.2672661866756,176.7142426060598,90.95894712396509,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:51.6100000Z,0
11,Device_3,10.163.2.3,token_Alu5lM!l_2021=,2021-10-25 19:06:47.078891,0.05026564577865633,94,93,97.84500357307607,343.0179766905833,95.8571439374196,90.08779723142484,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:50.9530000Z,0
12,Device_3,10.163.2.3,token_Alu5lM!l_2021=,2021-10-25 19:06:47.080849,0.6947402910285891,83,75,204.24394004641377,677.1950752895135,67.40381551326442,60.020536302633545,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:50.7190000Z,0
13,Device_3,10.163.2.3,token_Alu5lM!l_2021=,2021-10-25 19:06:15.961938,0.6819399363458947,74,84,239.97583359109834,221.47265660309026,126.1580148182338,67.02678668818642,Telemetry,2021-10-26T05:04:07.9006161Z,2021-10-25T19:06:19.4670000Z,0
14,Device_4,10.163.2.4,token_6zpjpRCT_2021=,2021-10-25 19:06:47.079846,0.1547346716603648,79,73,237.66011311389408,325.6856581803687,60.29797315083233,75.86132772253895,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:50.4850000Z,0
15,Device_4,10.163.2.4,token_6zpjpRCT_2021=,2021-10-25 19:06:37.056835,0.2897740820645386,90,88,210.21080507755718,699.2037267069372,115.48724700779765,70.20882723052985,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:40.8120000Z,0
16,Device_4,10.163.2.4,token_6zpjpRCT_2021=,2021-10-25 19:06:36.463674,0.43157449624793776,90,71,220.64545651148083,434.1628268802825,199.649943697498,73.30533770001381,Telemetry,2021-10-26T05:04:07.9006161Z,2021-10-25T19:06:40.4060000Z,0
17,Device_4,10.163.2.4,token_6zpjpRCT_2021=,2021-10-25 19:06:15.960935,0.7940533519985548,98,100,146.43139070329116,695.4698582795372,195.2411251826072,68.11083303109497,Telemetry,2021-10-26T05:04:07.9006161Z,2021-10-25T19:06:19.2640000Z,0
18,Device_4,10.163.2.4,token_6zpjpRCT_2021=,2021-10-25 19:06:47.079846,0.1547346716603648,79,73,237.66011311389408,325.6856581803687,60.29797315083233,75.86132772253895,Telemetry,2021-10-26T05:04:08.9180764Z,2021-10-25T19:06:50.4850000Z,0
