,DeviceName,Timestamp,Temperature,UVValue,Humidity,source
0,temp_sensor_kafka_1,2022-05-25 13:12:55.290981,96,0.789804166099341,77,kafka
1,temp_sensor_kafka_1,2022-05-25 13:12:57.301706,94,0.44404728355635603,98,kafka
2,temp_sensor_kafka_1,2022-05-25 13:12:59.302756,71,0.11750903952034,73,kafka
3,temp_sensor_kafka_1,2022-05-25 13:13:01.303685,71,0.907580550467856,88,kafka
4,temp_sensor_kafka_1,2022-05-25 13:13:03.304677,96,0.457147287232999,97,kafka
5,temp_sensor_kafka_1,2022-05-25 13:13:05.305609,75,0.886585238219277,70,kafka
6,temp_sensor_kafka_1,2022-05-25 13:13:07.306580,82,0.21231877252758002,96,kafka
7,temp_sensor_kafka_1,2022-05-25 13:13:09.307595,98,0.6361555134982091,93,kafka
8,temp_sensor_kafka_1,2022-05-25 13:13:11.314395,81,0.545865653929927,74,kafka
9,temp_sensor_kafka_1,2022-05-25 13:13:13.315392,79,0.45886083051469606,73,kafka
10,temp_sensor_kafka_1,2022-05-25 13:13:15.315834,100,0.17502684502412402,91,kafka
11,temp_sensor_kafka_1,2022-05-25 13:13:17.316863,93,0.562258193802685,88,kafka
12,temp_sensor_kafka_1,2022-05-25 13:13:19.317816,92,0.094595809261047,76,kafka
13,temp_sensor_kafka_1,2022-05-25 13:13:21.318798,90,0.18601874454164102,84,kafka
14,temp_sensor_kafka_1,2022-05-25 13:24:28.652855,86,0.9076474932996471,75,kafka
15,temp_sensor_kafka_1,2022-05-25 13:24:30.653306,86,0.49218399269483804,86,kafka
16,temp_sensor_kafka_1,2022-05-25 13:24:32.654291,78,0.745545166796242,91,kafka
17,temp_sensor_kafka_1,2022-05-25 13:24:34.655313,74,0.026479543907897002,82,kafka
18,temp_sensor_kafka_1,2022-05-25 13:24:36.821296,83,0.73537247553909,75,kafka
19,temp_sensor_kafka_1,2022-05-25 13:24:38.875019,100,0.6382583096783491,74,kafka
20,temp_sensor_kafka_1,2022-05-25 13:24:40.931645,94,0.763976724835104,78,kafka
21,temp_sensor_kafka_1,2022-05-25 13:25:01.258787,70,0.8104578642951991,97,kafka
22,temp_sensor_kafka_1,2022-05-25 13:25:03.264634,99,0.65815918663702,93,kafka
23,temp_sensor_kafka_1,2022-05-25 13:25:05.266130,85,0.42360838621045804,94,kafka
24,temp_sensor_kafka_1,2022-05-25 13:25:07.267072,94,0.565340103200431,81,kafka
25,temp_sensor_kafka_1,2022-05-25 13:25:09.268070,95,0.9164195210626851,96,kafka
26,temp_sensor_kafka_1,2022-05-25 13:25:11.269040,86,0.701594807673784,74,kafka
