#group,false,false,true,true,false,false,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,bucket,engine,id,path,walPath
,,0,2022-07-21T06:00:22.3287177Z,2022-07-22T06:00:22.3287177Z,2022-07-21T07:16:00Z,0,counter,storage_cache_writes_err,856e116a5a56c9c0,tsm1,1,C:\Users\gcpuser\.influxdbv2\engine\data\856e116a5a56c9c0\autogen\1,C:\Users\gcpuser\.influxdbv2\engine\wal\856e116a5a56c9c0\autogen\1
,,0,2022-07-21T06:00:22.3287177Z,2022-07-22T06:00:22.3287177Z,2022-07-21T07:20:00Z,0,counter,storage_cache_writes_err,856e116a5a56c9c0,tsm1,1,C:\Users\gcpuser\.influxdbv2\engine\data\856e116a5a56c9c0\autogen\1,C:\Users\gcpuser\.influxdbv2\engine\wal\856e116a5a56c9c0\autogen\1
,,0,2022-07-21T06:00:22.3287177Z,2022-07-22T06:00:22.3287177Z,2022-07-21T07:24:00Z,0,counter,storage_cache_writes_err,856e116a5a56c9c0,tsm1,1,C:\Users\gcpuser\.influxdbv2\engine\data\856e116a5a56c9c0\autogen\1,C:\Users\gcpuser\.influxdbv2\engine\wal\856e116a5a56c9c0\autogen\1
,,0,2022-07-21T06:00:22.3287177Z,2022-07-22T06:00:22.3287177Z,2022-07-21T07:28:00Z,0,counter,storage_cache_writes_err,856e116a5a56c9c0,tsm1,1,C:\Users\gcpuser\.influxdbv2\engine\data\856e116a5a56c9c0\autogen\1,C:\Users\gcpuser\.influxdbv2\engine\wal\856e116a5a56c9c0\autogen\1
,,0,2022-07-21T06:00:22.3287177Z,2022-07-22T06:00:22.3287177Z,2022-07-21T07:32:00Z,0,counter,storage_cache_writes_err,856e116a5a56c9c0,tsm1,1,C:\Users\gcpuser\.influxdbv2\engine\data\856e116a5a56c9c0\autogen\1,C:\Users\gcpuser\.influxdbv2\engine\wal\856e116a5a56c9c0\autogen\1
,,0,2022-07-21T06:00:22.3287177Z,2022-07-22T06:00:22.3287177Z,2022-07-21T07:36:00Z,0,counter,storage_cache_writes_err,856e116a5a56c9c0,tsm1,1,C:\Users\gcpuser\.influxdbv2\engine\data\856e116a5a56c9c0\autogen\1,C:\Users\gcpuser\.influxdbv2\engine\wal\856e116a5a56c9c0\autogen\1
,,0,2022-07-21T06:00:22.3287177Z,2022-07-22T06:00:22.3287177Z,2022-07-21T07:40:00Z,0,counter,storage_cache_writes_err,856e116a5a56c9c0,tsm1,1,C:\Users\gcpuser\.influxdbv2\engine\data\856e116a5a56c9c0\autogen\1,C:\Users\gcpuser\.influxdbv2\engine\wal\856e116a5a56c9c0\autogen\1
,,0,2022-07-21T06:00:22.3287177Z,2022-07-22T06:00:22.3287177Z,2022-07-21T07:44:00Z,0,counter,storage_cache_writes_err,856e116a5a56c9c0,tsm1,1,C:\Users\gcpuser\.influxdbv2\engine\data\856e116a5a56c9c0\autogen\1,C:\Users\gcpuser\.influxdbv2\engine\wal\856e116a5a56c9c0\autogen\1
,,0,2022-07-21T06:00:22.3287177Z,2022-07-22T06:00:22.3287177Z,2022-07-21T07:48:00Z,0,counter,storage_cache_writes_err,856e116a5a56c9c0,tsm1,1,C:\Users\gcpuser\.influxdbv2\engine\data\856e116a5a56c9c0\autogen\1,C:\Users\gcpuser\.influxdbv2\engine\wal\856e116a5a56c9c0\autogen\1
,,0,2022-07-21T06:00:22.3287177Z,2022-07-22T06:00:22.3287177Z,2022-07-21T07:52:00Z,0,counter,storage_cache_writes_err,856e116a5a56c9c0,tsm1,1,C:\Users\gcpuser\.influxdbv2\engine\data\856e116a5a56c9c0\autogen\1,C:\Users\gcpuser\.influxdbv2\engine\wal\856e116a5a56c9c0\autogen\1
